project_number,donor_name,agency_name,recipient_name,year,usd_commitment,usd_disbursement,project_title,short_description,long_description
,UNICEF,UNICEF,Gambia,2007,0.02485,0.02485,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Serbia,2007,0.04221,0.04221,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Albania,2007,0.00042,0.00042,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Botswana,2007,0.00359,0.00359,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Cameroon,2007,0,,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Central African Republic,2007,0.00101,0.00101,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Chad,2007,0.00371,0.00371,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Congo,2007,0.00148,0.00148,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Democratic Republic of the Congo,2007,0.18526,0.18526,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Benin,2007,0.0171,0.0171,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Ethiopia,2007,0.01303,0.01303,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,CÙte d'Ivoire,2007,0.01105,0.01105,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Lesotho,2007,3e-04,3e-04,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Liberia,2007,0.01957,0.01957,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Madagascar,2007,0.12187,0.12187,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Malawi,2007,0.1005,0.1005,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Mali,2007,0.20065,0.20065,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Mauritania,2007,0.00661,0.00661,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Mozambique,2007,0.00451,0.00451,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Ghana,2007,0.06107,0.06107,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Guinea,2007,0.00741,0.00741,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Guinea-Bissau,2007,0.00613,0.00613,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Myanmar,2007,0.00024,0.00024,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Nepal,2007,0.00215,0.00215,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Bangladesh,2007,0.00016,0.00016,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Tanzania,2007,0.02077,0.02077,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Uganda,2007,0.00396,0.00396,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Zambia,2007,0.00377,0.00377,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Colombia,2007,0.03435,0.03435,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Guyana,2007,0.00446,0.00446,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Uruguay,2007,0.00247,0.00247,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Venezuela,2007,0.00661,0.00661,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Iran,2007,0.14602,0.14602,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Yemen,2007,0.0055,0.0055,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Thailand,2007,0.01581,0.01581,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Sudan,2007,0.0021,0.0021,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Niger,2007,0.03288,0.03288,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Nigeria,2007,0.55234,0.55234,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Eritrea,2007,0.00054,0.00054,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Sierra Leone,2007,0.18027,0.18027,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Djibouti,2007,0.01619,0.01619,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Tanzania,2007,0.29977,0.29977,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Togo,2007,0.00032,0.00032,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Uganda,2007,0.11203,0.11203,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Burkina Faso,2007,0.11173,0.11173,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
13798,Netherlands,Ministry of Foreign Affairs (DGIS),Mozambique,2007,,1.27159,MAP Birth registration,POPULATION POLICY AND ADMIN. MGMT,birth registration in 11 provinces 55 districts
15051,Netherlands,Ministry of Foreign Affairs (DGIS),Bangladesh,2007,3.99167,1.07623,Universal Birth Registration,UNIVERSAL BIRTH REGISTRATION,OS
,UNICEF,UNICEF,Guyana,2007,0.02312,0.02312,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Nicaragua,2007,0.06867,0.06867,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Dominican Republic,2007,0.00314,0.00314,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Guatemala,2007,0.00901,0.00901,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Argentina,2007,0.00028,0.00028,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Bolivia,2007,0,,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Venezuela,2007,0,,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Iran,2007,0.02587,0.02587,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Yemen,2007,0.09625,0.09625,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Kyrgyzstan,2007,0.0086,0.0086,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Afghanistan,2007,0.17902,0.17902,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Myanmar,2007,0.01265,0.01265,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,India,2007,0.06127,0.06127,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Nepal,2007,0.00669,0.00669,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Pakistan,2007,0.02371,0.02371,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Bangladesh,2007,0.24212,0.24212,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,China (People's Republic of),2007,0.00082,0.00082,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Indonesia,2007,0,,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Philippines,2007,0,,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Viet Nam,2007,0.00454,0.00454,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,"Oceania, regional",2007,0.00065,0.00065,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Chad,2007,0.00083,0.00083,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Gabon,2007,8e-04,8e-04,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Gambia,2007,0.01114,0.01114,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Guinea,2007,0.00153,0.00153,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,CÙte d'Ivoire,2007,0.0015,0.0015,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Mali,2007,0.0024,0.0024,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Niger,2007,0.03857,0.03857,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Nigeria,2007,0.00183,0.00183,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
JOR03P05,UNFPA,UNFPA,Jordan,2007,0.00304662,0.00304662,Availability of Disaggregated Population Data,AVAILABILITY OF DISAGGREGATED POPULATION DATA,VITAL STATISTICS
RWA6P36BPG,UNFPA,UNFPA,Rwanda,2008,0.119826,0.119826,"Population, Gender and Sexual and Reproductive Health Data for Development","POPULATION, GENDER AND SEXUAL AND REPRODUCTIVE HEALTH DATA FOR DEVELOPMENT",CIVIL REGISTRATION AND VITAL S
,UNICEF,UNICEF,Burkina Faso,2008,0.12107,0.12107,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Bosnia and Herzegovina,2008,0.05791,0.05791,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Montenegro,2008,0.05152,0.05152,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Mozambique,2008,0.025,0.025,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Eswatini,2008,0.02389,0.02389,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Sudan,2008,5e-05,5e-05,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,"South of Sahara, regional",2008,0.0045,0.0045,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Papua New Guinea,2008,0.01405,0.01405,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Madagascar,2008,0.00197,0.00197,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Uganda,2008,0.08326,0.08326,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,"Oceania, regional",2008,0.00328,0.00328,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Eritrea,2008,0.0272,0.0272,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Mozambique,2008,0.03167,0.03167,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Iran,2008,0.10994,0.10994,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Sudan,2008,0.00238,0.00238,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Afghanistan,2008,0.31294,0.31294,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Bangladesh,2008,1.01247,1.01247,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,India,2008,0.0058,0.0058,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Nepal,2008,0.00445,0.00445,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Colombia,2008,0.0326,0.0326,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Dominican Republic,2008,0.00278,0.00278,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Gambia,2008,0.00253,0.00253,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Ghana,2008,0.0069,0.0069,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Kyrgyzstan,2008,0.01117,0.01117,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Serbia,2008,0.01548,0.01548,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Myanmar,2008,0.00451,0.00451,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Indonesia,2008,0.03989,0.03989,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Timor-Leste,2008,0.00245,0.00245,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Viet Nam,2008,0,,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Angola,2008,0.01895,0.01895,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Botswana,2008,0.00086,0.00086,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Comoros,2008,0.00066,0.00066,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Ethiopia,2008,0.02372,0.02372,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Madagascar,2008,0.36473,0.36473,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Malawi,2008,0.00351,0.00351,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Tanzania,2008,0.3297,0.3297,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Uganda,2008,0.10651,0.10651,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Yemen,2008,0.05718,0.05718,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Pakistan,2008,0.02717,0.02717,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Honduras,2008,0.01309,0.01309,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Nicaragua,2008,0.01014,0.01014,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Paraguay,2008,0.00089,0.00089,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Venezuela,2008,0.00149,0.00149,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Cameroon,2008,0.04604,0.04604,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Democratic Republic of the Congo,2008,0.30561,0.30561,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Guinea,2008,0.00982,0.00982,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Guinea-Bissau,2008,0.01154,0.01154,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,CÙte d'Ivoire,2008,0.00356,0.00356,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Mali,2008,0.00074,0.00074,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Niger,2008,0.15653,0.15653,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Nigeria,2008,0.19949,0.19949,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
,UNICEF,UNICEF,Sierra Leone,2008,0.09343,0.09343,4161. Birth registration (general),BIRTH REGISTRATION (GENERAL),Birth registration (general)
RWA6P36BPU,UNFPA,UNFPA,Rwanda,2008,0.00882105,0.00882105,"Population, Gender and Sexual and Reproductive Health Data for Development","POPULATION, GENDER AND SEXUAL AND REPRODUCTIVE HEALTH DATA FOR DEVELOPMENT",CIVIL REGISTRATION AND VITAL S
,UNICEF,UNICEF,Nepal,2008,0.00304,0.00304,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Guyana,2008,0,0,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
,UNICEF,UNICEF,Guinea,2008,0.01904,0.01904,4162. Birth registration focusing on the marginalized,BIRTH REGISTRATION FOCUSING ON THE MARGINALIZED,Birth registration focusing on the marginalized
